variant,turbine,lead_day,sector_i,sector,n,mae,rmse,bias,coverage_pct,width
selected,t1,1,9,SSW,14,0.10098464088791019,0.17518562954371375,-0.021414356869658348,92.85714285714286,0.22667050891941765
selected,t1,1,10,SW,107,0.17185017603699704,0.22990381461430348,-0.015951698714614673,79.43925233644859,0.4396053854639872
selected,t1,1,11,WSW,279,0.14519136877150243,0.20503542120274373,0.05308146790274558,82.79569892473118,0.40007868923705303
selected,t1,1,12,W,114,0.09247032683763766,0.128561209900349,0.01931311765241701,85.08771929824562,0.29460265457046686
selected,t1,1,13,WNW,22,0.054813241057952995,0.07709732626563218,0.03305645718718593,95.45454545454545,0.1515436829810175
selected,t1,1,14,NW,8,0.05517001645712019,0.08878269560378614,0.05078096482790834,87.5,0.1135634844657458
selected,t1,1,15,NNW,16,0.03148726460598841,0.06238596121555607,0.02898726460598841,100.0,0.11360129538530714
selected,t1,2,0,N,4,0.0642149260216892,0.08898151747156428,-0.020769789129926795,75.0,0.09992844590836812
selected,t1,2,1,NNE,17,0.07749730320134769,0.1477257148373587,0.06568214865968072,94.11764705882352,0.197348795765968
selected,t1,2,2,NE,114,0.1936019281528203,0.2567482809006527,0.06988403869158515,74.56140350877193,0.49224307581634813
selected,t1,2,3,ENE,672,0.20785821892968628,0.2777916148719194,0.05072383280865754,73.06547619047619,0.5153931540870174
selected,t1,2,4,E,70,0.1486674392513756,0.1932854333118832,-0.03387917633365119,85.71428571428571,0.3805121082931886
selected,t1,2,5,ESE,19,0.16311553784610364,0.22831426579464206,-0.09985218978965207,73.68421052631578,0.2768750944503219
selected,t1,2,6,SE,10,0.12868976519074538,0.16271089524673055,-0.036203654853077166,80.0,0.32783793711007125
selected,t1,2,7,SSE,10,0.1154642410452067,0.2089970945659006,-0.007594266538307746,90.0,0.33586391192563314
selected,t1,2,8,S,8,0.18972276070535748,0.3062699897124144,-0.15023887423849014,62.5,0.21038900060074406
selected,t1,2,9,SSW,14,0.14654423277788112,0.2118663405558461,0.0002157306014683526,71.42857142857143,0.2876672344256129
selected,t1,2,10,SW,112,0.17261367855054016,0.2416606643753959,0.0032509020223224876,81.25,0.48188792721846524
selected,t1,2,11,WSW,272,0.1670379603440045,0.2319668002090649,0.02350312371371968,76.47058823529412,0.4148222038595081
selected,t1,2,12,W,109,0.11327093024297677,0.16845454059446838,0.023111106078737172,85.3211009174312,0.30714762675364915
selected,t1,2,13,WNW,25,0.06420194501258056,0.08571234628075379,0.025562056331025828,96.0,0.1823451258870487
selected,t1,2,14,NW,11,0.04013737501118278,0.04815179034114356,0.02860046128968727,100.0,0.11812852193063952
selected,t1,2,15,NNW,12,0.08643726167896965,0.13435677620883935,0.0825023815401612,91.66666666666666,0.21707668974033076
